0,The system shall refresh the display every 60 seconds.,PE,0,7
1,The application shall match the color of the schema set forth by Department of Homeland Security,LF,1,4
2, If projected  the data must be readable.,US,2,10
6, If projected  the data must be understandable.,US,4,10
11,:  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,6,10
13,The system shall have a MDI form that allows for the viewing of the graph and the data table.,F,8,1
14,The system shall display Events in a vertical table by time.,F,9,1
15,The system shall display the Events in a graph by time.,F,10,1
16,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L,11,3
17,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.,L,12,3
19,All actions that modify an existing dispute case must be recorded in the case history.,L,13,3
20,The Disputes System must be accessible by both internal and external users.,F,14,1
21,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,F,15,1
22,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,F,16,1
23,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,F,17,1
24,The Disputes System shall provide view access capability for authorized users of the application.,F,18,1
25,The Disputes System shall provide update access capability for authorized users of the application.,F,19,1
26,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F,20,1
27,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,F,21,1
28,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.,F,22,1
30,The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F,22,1
33,A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F,23,1
34,The Disputes System must prevent external users from requesting original receipts.,F,24,1
35,Requests for original receipts are restricted to internal users.,F,24,1
36, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,F,25,1
37,The Disputes System shall allow the user to create or initiate a chargeback request.,F,26,1
38,The system must prompt the user to enter the required information to initiate a chargeback request.,F,26,1
39,The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,F,26,1
40, The Disputes System must provide a confirmation to the user upon the creation of a chargeback request.,F,27,1
41,The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,F,27,1
43, The Disputes System shall accurately provide a list of possible reason codes for a given transaction.,F,29,1
44,The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,F,29,1
45,The Disputes System must provide the ability to view existing dispute cases.,F,30,1
48,In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,F,31,1
49,A list of all disputes cases that meet the entered search criteria must be provided to the user.,F,32,1
50,The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.,F,32,1
52,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,F,33,1
53,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.,F,34,1
54,The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,F,34,1
55, The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.,F,35,1
56,A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,F,35,1
57, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.,F,36,1
58,Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,F,36,1
60,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,F,38,1
61,The product must support Internet Explorer 5.5 and above.,O,39,6
63,The product shall interface with the Choice Parts System.,O,41,6
64,This provides the feed of recycled parts data.,O,41,6
65,The product shall run on the existing hardware for all environments.,O,42,6
